location,url,fulladdress,bedrooms,bathrooms,parkingSpaces,studies,image_url,house_type,latitude,longitude,coordinates,buy_price,type,price tag
"16 Liverpool Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140589631,"607/16 Liverpool Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/0e25dbd797e204536b61cfc2cacf63e3a17e37b29fa10c2be6630e1fe446f1cf/image.jpg,Apartment,-37.811212,144.9714931,"(144.9714931, -37.811212)",460000,buy,"$450,000 - $470,000"
"135 A'Beckett Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140595723,"6009/135 A'Beckett Street, Melbourne, Vic 3000",3,2,1,0,https://i2.au.reastatic.net/{size}/1ecb9d51b3fe96d30d34b098a4c2de7ada3c4b75aa20fc7cf30ecf449a001541/image.jpg,Apartment,-37.8096114,144.9595749,"(144.9595749, -37.8096114)",900000,buy,"ESR: $880,000 - $920,000"
"200 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-138993283,"1313/200 Spencer Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/4b2865009809170ef2def56cd020a869dd49ed23c37dfac0776410778d47020e/image.jpg,Apartment,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",377500,buy,"$360,000 to $395,000"
"555 Flinders Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140463723,"1306/555 Flinders Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/8cd9ca2d02b7399581adae421e921519f6a72401e8532298e8497c9152b1f7df/image.jpg,Apartment,-37.82096345,144.9564841,"(144.9564841079254, -37.82096345)",400000,buy,400000 
"422 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139730827,"717/422 Collins Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/a538ca58a6d87e3fbb68cdba25b8475c9ebba57b6429993aa7f637f9e5a8398d/image.jpg,Apartment,-37.81679715,144.9600304,"(144.9600304018269, -37.81679715)",599000,buy,599000 
"38 Rose Lane, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140593111,"3909/38 Rose Lane, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/d39e8f8b41cb81d98b86c68d4ca602687e4dbd3aaf29c7c7b1476c6613b0ec36/image.jpg,Apartment,-37.8148091,144.9539615,"(144.9539615, -37.8148091)",417900,buy,"$398,000 - $437,800"
"350 La Trobe Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140462235,"602/350 La Trobe Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/9169f358e9f9ef8adb848a652dfaa210a787e96799d9249b5c5805c1210d0d23/image.jpg,Apartment,-37.8103906,144.9612267,"(144.9612267, -37.8103906)",510000,buy,"$490,000 - $530,000"
"333 Exhibition St, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140590619,"1306/333 Exhibition St, Melbourne, Vic 3000",2,2,1,0,https://i2.au.reastatic.net/{size}/8dc20474480b8e86f0b9f69ee58a4d9a1d4a04c9f49535d4964f467af7dea923/image.jpg,Apartment,-37.8080085,144.96842,"(144.96842, -37.8080085)",599000,buy,599000 
"410 Elizabeth Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139351043,"1103/410 Elizabeth Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/b55eff09582d031f20ef7b67943c59f8c1629bd97325c2cdc12c951bcc3b9814/image.jpg,Apartment,-37.80907471,144.9610193,"(144.96101932142855, -37.809074707142855)",455000,buy,"$440,000 - $470,000"
"138 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139982427,"4310/138 Spencer Street, Melbourne, Vic 3000",2,1,0,1,https://i2.au.reastatic.net/{size}/5f76ec111001aa70f8525add148818f62a720b1f094bece41b10392502778540/image.jpg,Apartment,-37.8131357,144.95151,"(144.95151, -37.8131357)",725000,buy,"$700,000-$750,000"
"199 William Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-137269930,"522/199 William Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/f743cb51f3808ffe06fe79d7076ca2e8259965a4b8345497b3068b33a6df8ab4/image.jpg,Apartment,-37.8115568,144.9564297,"(144.9564297, -37.8115568)",487500,buy,"$475,000 - $500,000"
"200 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140112455,"3910/200 Spencer Street, Melbourne, Vic 3000",2,1,1,0,https://i2.au.reastatic.net/{size}/5e0967e78751315e9175cd7369e9c4b4201dfa4634a1360556aceed1803ce65b/image.jpg,Apartment,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",665000,buy,"$650,000 - $680,000"
"118 Russell Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140584975,"811/118 Russell Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/7736131886a140a2f4da9c3c0ce1167876c08a53dae777897b5cd3c3b69ec276/image.jpg,Apartment,-37.8136078,144.9686931,"(144.9686931, -37.8136078)",615000,buy,"$590,000 - $640,000"
"568 Collins Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139855019,"4109/568 Collins Street, Melbourne, Vic 3000",1,1,0,0,https://i2.au.reastatic.net/{size}/9dcb32f53421f18baee7189b93de03fc1e6cf76a02dc72cb54074964e4d76264/image.jpg,Apartment,-37.81835585,144.9554293,"(144.95542933144475, -37.81835585)",337500,buy,"$325,000 - $350,000"
"200 Spencer Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-135009774,"1311/200 Spencer Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/10d326894a5313aeedfcb28caebfad9aebe47993f2e69042809c0051d395c17e/image.jpg,Apartment,-37.8162806,144.9532882,"(144.95328817518583, -37.8162806)",407500,buy,"$400,000 - $415,000"
"399 Bourke Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140232367,"213/399 Bourke Street, Melbourne, Vic 3000",2,1,0,0,https://i2.au.reastatic.net/{size}/4519416c6c660a2c625700678002c14a9c9d5a77084dd2b0c91603fe48f45b52/image.jpg,Apartment,-37.814762,144.9614924,"(144.9614924, -37.814762)",492500,buy,"$470,000 to $515,000"
"8 Franklin Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-139718187,"803A/8 Franklin Street, Melbourne, Vic 3000",2,2,0,0,https://i2.au.reastatic.net/{size}/dfb2eebf8fc274f0ad307232b8c50a76f0f0b9030ce103680e3a9d8c45408d05/image.jpg,Apartment,-37.8074444,144.9621938,"(144.9621938, -37.8074444)",470000,buy,"$450,000 - $490,000"
"87 Franklin Street, Melbourne, Vic 3000",https://www.realestate.com.au/property-apartment-vic-melbourne-140581475,"705/87 Franklin Street, Melbourne, Vic 3000",1,1,1,0,https://i2.au.reastatic.net/{size}/b10762f0e66f53f56b08d649aab44620efffe42aba0cc6cbd9d9108d258b60af/image.jpg,Apartment,-37.808018,144.961751,"(144.961751, -37.808018)",377500,buy,"$360,000 to $395,000"
